

  0% 1/154173 [00:04<188:31:14,  4.40s/it]




  0% 5/154173 [00:13<104:48:47,  2.45s/it]





  0% 10/154173 [00:24<98:00:15,  2.29s/it]





  0% 15/154173 [00:36<97:00:49,  2.27s/it]





  0% 470/154173 [17:47<96:33:56,  2.26s/it]





  0% 475/154173 [17:58<98:13:39,  2.30s/it]





  0% 480/154173 [18:10<96:49:40,  2.27s/it]





  0% 485/154173 [18:21<96:41:28,  2.26s/it]





  0% 490/154173 [18:32<96:32:15,  2.26s/it]





  0% 495/154173 [18:44<96:35:19,  2.26s/it]





  0% 500/154173 [18:55<98:13:04,  2.30s/it]





  0% 505/154173 [19:06<96:46:05,  2.27s/it]





  0% 510/154173 [19:18<96:33:39,  2.26s/it]





  0% 515/154173 [19:29<96:29:11,  2.26s/it]





  0% 520/154173 [19:40<96:34:30,  2.26s/it]





  0% 525/154173 [20:33<632:34:48, 14.82s/it]





  0% 530/154173 [20:45<186:40:29,  4.37s/it]





  0% 535/154173 [20:56<111:40:48,  2.62s/it]





  0% 540/154173 [21:07<99:04:20,  2.32s/it]





  0% 545/154173 [21:19<96:56:59,  2.27s/it]





  0% 550/154173 [21:30<98:09:33,  2.30s/it]





  0% 555/154173 [21:41<96:43:57,  2.27s/it]





  0% 560/154173 [21:53<96:29:39,  2.26s/it]





  0% 565/154173 [22:04<96:32:37,  2.26s/it]





  0% 570/154173 [22:15<96:27:44,  2.26s/it]





  0% 575/154173 [22:27<98:11:53,  2.30s/it]





  0% 580/154173 [22:38<96:44:25,  2.27s/it]





  0% 585/154173 [22:49<96:28:04,  2.26s/it]





  0% 590/154173 [23:01<96:33:11,  2.26s/it]





  0% 595/154173 [23:12<96:30:25,  2.26s/it]





  0% 600/154173 [23:23<98:03:30,  2.30s/it]





  0% 605/154173 [23:35<96:42:00,  2.27s/it]





  0% 610/154173 [23:46<96:28:17,  2.26s/it]





  0% 615/154173 [23:57<96:25:14,  2.26s/it]





  0% 620/154173 [24:09<96:27:13,  2.26s/it]





  0% 625/154173 [24:20<98:03:10,  2.30s/it]





  0% 630/154173 [24:31<96:41:46,  2.27s/it]





  0% 635/154173 [24:43<96:26:58,  2.26s/it]





  0% 640/154173 [24:54<96:29:14,  2.26s/it]





  0% 645/154173 [25:05<96:32:25,  2.26s/it]





  0% 650/154173 [25:17<98:02:52,  2.30s/it]





  0% 655/154173 [25:28<96:39:19,  2.27s/it]





  0% 660/154173 [25:39<96:25:49,  2.26s/it]





  0% 665/154173 [25:51<96:25:09,  2.26s/it]





  0% 670/154173 [26:02<96:26:53,  2.26s/it]





  0% 675/154173 [26:13<98:10:21,  2.30s/it]





  0% 680/154173 [26:25<96:40:00,  2.27s/it]





  0% 685/154173 [26:36<96:25:31,  2.26s/it]






  0% 691/154173 [26:50<96:23:23,  2.26s/it]




  0% 695/154173 [26:59<96:22:36,  2.26s/it]





  0% 700/154173 [27:10<98:01:10,  2.30s/it]






  0% 706/154173 [27:24<96:35:39,  2.27s/it]




  0% 710/154173 [27:33<96:27:17,  2.26s/it]




  0% 714/154173 [27:42<96:25:11,  2.26s/it]





  0% 719/154173 [27:53<96:21:49,  2.26s/it]





  0% 724/154173 [28:04<96:21:08,  2.26s/it]





  0% 729/154173 [28:16<96:44:07,  2.27s/it]





  0% 734/154173 [28:27<96:27:52,  2.26s/it]





  0% 739/154173 [28:38<96:23:46,  2.26s/it]





  0% 744/154173 [28:50<96:21:23,  2.26s/it]





  0% 749/154173 [29:01<96:37:17,  2.27s/it]





  0% 754/154173 [29:12<96:55:34,  2.27s/it]





  0% 759/154173 [29:24<96:28:48,  2.26s/it]





  0% 764/154173 [29:35<96:22:25,  2.26s/it]





  0% 769/154173 [29:46<96:20:41,  2.26s/it]





  1% 774/154173 [29:58<96:24:08,  2.26s/it]





  1% 779/154173 [30:09<96:44:14,  2.27s/it]





  1% 784/154173 [30:20<96:23:32,  2.26s/it]





  1% 789/154173 [30:32<96:17:48,  2.26s/it]





  1% 794/154173 [30:43<96:26:17,  2.26s/it]





  1% 799/154173 [30:54<96:18:32,  2.26s/it]





  1% 804/154173 [31:06<96:46:15,  2.27s/it]





  1% 809/154173 [31:17<96:29:34,  2.27s/it]





  1% 814/154173 [31:28<96:22:37,  2.26s/it]





  1% 819/154173 [31:40<96:23:37,  2.26s/it]





  1% 824/154173 [31:51<96:19:01,  2.26s/it]





  1% 829/154173 [32:03<96:44:07,  2.27s/it]





  1% 834/154173 [32:14<96:28:11,  2.26s/it]





  1% 839/154173 [32:25<96:20:18,  2.26s/it]





  1% 844/154173 [32:36<96:19:17,  2.26s/it]





  1% 849/154173 [32:48<96:28:03,  2.27s/it]





  1% 854/154173 [32:59<96:42:48,  2.27s/it]





  1% 859/154173 [33:11<96:25:53,  2.26s/it]






  1% 865/154173 [33:24<96:16:53,  2.26s/it]




  1% 869/154173 [33:33<96:18:43,  2.26s/it]





  1% 874/154173 [33:44<96:15:31,  2.26s/it]






  1% 880/154173 [33:58<96:34:09,  2.27s/it]




  1% 884/154173 [34:07<96:19:55,  2.26s/it]





  1% 889/154173 [34:18<96:17:34,  2.26s/it]






  1% 895/154173 [34:32<96:14:47,  2.26s/it]




  1% 899/154173 [34:41<96:14:18,  2.26s/it]





  1% 904/154173 [34:53<96:37:24,  2.27s/it]






  1% 910/154173 [35:06<96:29:08,  2.27s/it]




  1% 914/154173 [35:15<96:17:56,  2.26s/it]





  1% 919/154173 [35:26<96:13:52,  2.26s/it]






  1% 925/154173 [35:40<97:47:06,  2.30s/it]




  1% 929/154173 [35:49<96:35:48,  2.27s/it]





  1% 934/154173 [36:00<96:18:40,  2.26s/it]






  1% 940/154173 [36:14<96:17:39,  2.26s/it]




  1% 944/154173 [36:23<96:13:48,  2.26s/it]





  1% 949/154173 [36:34<96:18:53,  2.26s/it]






  1% 955/154173 [36:48<96:38:27,  2.27s/it]




  1% 959/154173 [36:57<96:19:18,  2.26s/it]





  1% 964/154173 [37:08<96:12:19,  2.26s/it]






  1% 970/154173 [37:22<96:14:23,  2.26s/it]




  1% 974/154173 [37:31<96:18:56,  2.26s/it]





  1% 979/154173 [37:43<96:37:32,  2.27s/it]






  1% 985/154173 [37:56<96:16:09,  2.26s/it]




  1% 989/154173 [38:05<96:21:12,  2.26s/it]





  1% 994/154173 [38:17<96:21:57,  2.26s/it]






  1% 1000/154173 [38:30<97:49:22,  2.30s/it]




  1% 1004/154173 [38:39<96:37:23,  2.27s/it]





  1% 1009/154173 [38:51<96:14:17,  2.26s/it]





  1% 1014/154173 [39:02<96:11:38,  2.26s/it]





  1% 1019/154173 [39:13<96:09:08,  2.26s/it]





  1% 1024/154173 [39:24<96:10:49,  2.26s/it]





  1% 1029/154173 [39:36<96:33:35,  2.27s/it]





  1% 1034/154173 [39:47<96:14:31,  2.26s/it]





  1% 1039/154173 [39:59<96:13:50,  2.26s/it]





  1% 1044/154173 [40:10<96:14:43,  2.26s/it]





  1% 1049/154173 [40:21<96:10:08,  2.26s/it]





  1% 1054/154173 [40:33<96:35:32,  2.27s/it]





  1% 1059/154173 [40:44<96:17:50,  2.26s/it]





  1% 1064/154173 [40:55<96:09:58,  2.26s/it]





  1% 1069/154173 [41:06<96:07:41,  2.26s/it]





  1% 1074/154173 [41:18<96:11:50,  2.26s/it]





  1% 1079/154173 [41:29<96:43:38,  2.27s/it]





  1% 1084/154173 [41:41<96:16:58,  2.26s/it]





  1% 1089/154173 [41:52<96:12:04,  2.26s/it]





  1% 1094/154173 [42:03<96:11:54,  2.26s/it]





  1% 1099/154173 [42:15<96:11:25,  2.26s/it]





  1% 1104/154173 [42:26<96:36:42,  2.27s/it]





  1% 1109/154173 [42:37<96:12:00,  2.26s/it]






  1% 1115/154173 [42:51<96:09:49,  2.26s/it]




  1% 1119/154173 [43:00<96:14:36,  2.26s/it]





  1% 1124/154173 [43:11<96:10:25,  2.26s/it]





  1% 1129/154173 [43:23<96:35:11,  2.27s/it]





  1% 1134/154173 [43:34<96:12:55,  2.26s/it]





  1% 1139/154173 [43:45<96:05:34,  2.26s/it]






  1% 1145/154173 [43:59<96:06:27,  2.26s/it]




  1% 1149/154173 [44:08<96:04:36,  2.26s/it]





  1% 1154/154173 [44:19<96:31:35,  2.27s/it]






  1% 1160/154173 [44:33<96:10:21,  2.26s/it]




  1% 1164/154173 [44:42<96:09:47,  2.26s/it]





  1% 1169/154173 [44:53<96:10:37,  2.26s/it]






  1% 1175/154173 [45:07<97:50:06,  2.30s/it]




  1% 1179/154173 [45:16<96:29:58,  2.27s/it]





  1% 1184/154173 [45:27<96:16:06,  2.27s/it]






  1% 1190/154173 [45:41<96:06:44,  2.26s/it]




  1% 1194/154173 [45:50<96:02:36,  2.26s/it]





  1% 1199/154173 [46:01<96:11:03,  2.26s/it]






  1% 1205/154173 [46:15<96:26:42,  2.27s/it]




  1% 1209/154173 [46:24<96:12:19,  2.26s/it]





  1% 1214/154173 [46:35<96:03:57,  2.26s/it]






  1% 1220/154173 [46:49<96:03:50,  2.26s/it]




  1% 1224/154173 [46:58<96:10:59,  2.26s/it]





  1% 1229/154173 [47:09<96:30:32,  2.27s/it]






  1% 1235/154173 [47:23<96:05:35,  2.26s/it]




  1% 1239/154173 [47:32<96:02:28,  2.26s/it]





  1% 1244/154173 [47:43<96:01:51,  2.26s/it]






  1% 1250/154173 [47:57<97:42:37,  2.30s/it]




  1% 1254/154173 [48:06<96:32:28,  2.27s/it]





  1% 1259/154173 [48:17<96:06:26,  2.26s/it]






  1% 1265/154173 [48:31<96:11:31,  2.26s/it]




  1% 1269/154173 [48:40<96:04:37,  2.26s/it]





  1% 1274/154173 [48:51<96:08:08,  2.26s/it]






  1% 1280/154173 [49:05<96:16:59,  2.27s/it]




  1% 1284/154173 [49:14<96:06:57,  2.26s/it]





  1% 1289/154173 [49:25<96:04:10,  2.26s/it]






  1% 1295/154173 [49:39<96:05:53,  2.26s/it]




  1% 1299/154173 [49:48<96:06:10,  2.26s/it]





  1% 1304/154173 [49:59<96:25:11,  2.27s/it]





  1% 1309/154173 [50:11<96:02:53,  2.26s/it]





  1% 1314/154173 [50:22<95:59:50,  2.26s/it]





  1% 1319/154173 [50:33<96:06:42,  2.26s/it]






  1% 1325/154173 [50:47<97:45:05,  2.30s/it]




  1% 1329/154173 [50:56<96:28:36,  2.27s/it]





  1% 1334/154173 [51:07<96:02:59,  2.26s/it]





  1% 1339/154173 [51:19<96:00:46,  2.26s/it]





  1% 1344/154173 [51:30<95:58:24,  2.26s/it]





  1% 1349/154173 [51:41<95:56:54,  2.26s/it]





  1% 1354/154173 [51:53<96:19:37,  2.27s/it]





  1% 1359/154173 [52:04<96:04:32,  2.26s/it]





  1% 1364/154173 [52:15<96:05:49,  2.26s/it]





  1% 1369/154173 [52:27<95:57:58,  2.26s/it]





  1% 1374/154173 [52:38<96:02:28,  2.26s/it]





  1% 1379/154173 [52:49<96:19:14,  2.27s/it]





  1% 1384/154173 [53:01<96:00:43,  2.26s/it]





  1% 1389/154173 [53:12<95:55:11,  2.26s/it]






  1% 1395/154173 [53:26<96:10:29,  2.27s/it]




  1% 1399/154173 [53:35<95:59:16,  2.26s/it]





  1% 1404/154173 [53:46<96:23:29,  2.27s/it]






  1% 1410/154173 [54:00<96:04:18,  2.26s/it]




  1% 1414/154173 [54:09<95:56:20,  2.26s/it]





  1% 1419/154173 [54:20<96:00:37,  2.26s/it]






  1% 1425/154173 [54:34<97:34:48,  2.30s/it]




  1% 1429/154173 [54:43<96:20:36,  2.27s/it]





  1% 1434/154173 [54:54<95:57:50,  2.26s/it]






  1% 1440/154173 [55:08<95:57:13,  2.26s/it]




  1% 1444/154173 [55:17<95:55:21,  2.26s/it]





  1% 1449/154173 [55:28<95:54:27,  2.26s/it]






  1% 1455/154173 [55:42<96:12:12,  2.27s/it]




  1% 1459/154173 [55:51<96:01:59,  2.26s/it]





  1% 1464/154173 [56:02<95:59:31,  2.26s/it]






  1% 1470/154173 [56:16<95:54:49,  2.26s/it]




  1% 1474/154173 [56:25<95:55:37,  2.26s/it]





  1% 1479/154173 [56:36<96:20:21,  2.27s/it]






  1% 1485/154173 [56:50<95:56:27,  2.26s/it]




  1% 1489/154173 [56:59<95:51:45,  2.26s/it]





  1% 1494/154173 [57:10<95:53:18,  2.26s/it]






  1% 1500/154173 [57:24<97:29:23,  2.30s/it]




  1% 1504/154173 [57:33<96:25:59,  2.27s/it]





  1% 1509/154173 [57:44<95:58:10,  2.26s/it]






  1% 1515/154173 [57:58<95:53:25,  2.26s/it]




  1% 1519/154173 [58:07<95:57:24,  2.26s/it]





  1% 1524/154173 [58:18<95:57:49,  2.26s/it]






  1% 1530/154173 [58:32<96:07:34,  2.27s/it]




  1% 1534/154173 [58:41<95:53:28,  2.26s/it]





  1% 1539/154173 [58:52<95:53:48,  2.26s/it]






  1% 1545/154173 [59:06<95:49:31,  2.26s/it]




  1% 1549/154173 [59:15<95:50:31,  2.26s/it]





  1% 1554/154173 [59:26<96:15:40,  2.27s/it]






  1% 1560/154173 [59:40<95:52:26,  2.26s/it]




  1% 1564/154173 [59:49<95:55:14,  2.26s/it]





  1% 1569/154173 [1:00:00<95:50:31,  2.26s/it]






  1% 1575/154173 [1:00:14<97:29:42,  2.30s/it]




  1% 1579/154173 [1:00:23<96:12:14,  2.27s/it]





  1% 1584/154173 [1:00:34<95:52:07,  2.26s/it]





  1% 1589/154173 [1:00:45<95:49:02,  2.26s/it]





  1% 1594/154173 [1:00:57<95:54:48,  2.26s/it]





  1% 1599/154173 [1:01:08<95:52:00,  2.26s/it]





  1% 1604/154173 [1:01:19<96:12:31,  2.27s/it]





  1% 1609/154173 [1:01:31<95:55:53,  2.26s/it]





  1% 1614/154173 [1:01:42<95:53:42,  2.26s/it]





  1% 1619/154173 [1:01:53<95:51:23,  2.26s/it]





  1% 1624/154173 [1:02:05<95:52:12,  2.26s/it]





  1% 1629/154173 [1:02:16<96:21:17,  2.27s/it]





  1% 1634/154173 [1:02:27<95:59:52,  2.27s/it]





  1% 1639/154173 [1:02:39<95:54:17,  2.26s/it]





  1% 1644/154173 [1:02:50<96:00:55,  2.27s/it]





  1% 1649/154173 [1:03:01<95:53:01,  2.26s/it]





  1% 1654/154173 [1:03:13<96:11:13,  2.27s/it]





  1% 1659/154173 [1:03:24<95:52:14,  2.26s/it]





  1% 1664/154173 [1:03:35<95:48:06,  2.26s/it]





  1% 1669/154173 [1:03:47<95:48:18,  2.26s/it]





  1% 1674/154173 [1:03:58<95:48:03,  2.26s/it]





  1% 1679/154173 [1:04:10<96:16:49,  2.27s/it]





  1% 1684/154173 [1:04:21<95:55:53,  2.26s/it]






  1% 1690/154173 [1:04:34<95:50:41,  2.26s/it]




  1% 1694/154173 [1:04:44<95:46:55,  2.26s/it]





  1% 1699/154173 [1:04:55<95:46:17,  2.26s/it]






  1% 1705/154173 [1:05:09<96:03:55,  2.27s/it]




  1% 1709/154173 [1:05:18<95:52:56,  2.26s/it]





  1% 1714/154173 [1:05:29<95:51:03,  2.26s/it]






  1% 1720/154173 [1:05:42<95:48:48,  2.26s/it]




  1% 1724/154173 [1:05:52<96:06:53,  2.27s/it]





  1% 1729/154173 [1:06:03<96:12:10,  2.27s/it]






  1% 1735/154173 [1:06:17<95:46:06,  2.26s/it]




  1% 1739/154173 [1:06:26<95:42:13,  2.26s/it]





  1% 1744/154173 [1:06:37<95:42:56,  2.26s/it]






  1% 1750/154173 [1:06:51<97:18:44,  2.30s/it]




  1% 1754/154173 [1:07:00<96:04:49,  2.27s/it]





  1% 1759/154173 [1:07:11<95:53:20,  2.26s/it]






  1% 1765/154173 [1:07:25<95:44:33,  2.26s/it]




  1% 1769/154173 [1:07:34<95:46:45,  2.26s/it]





  1% 1774/154173 [1:07:45<95:41:33,  2.26s/it]






  1% 1780/154173 [1:07:59<96:04:50,  2.27s/it]




